feature,label
"[4, 2, 84, 19, 15, 25, 42, 35, 88, 111]","tensor([0., 1.])"
"[53, 27, 47, 6, 23, 58, 9, 4, 99, 76]","tensor([0., 1.])"
"[34, 21, 5, 32, 56, 18, 64, 120, 2, 38]","tensor([0., 1.])"
"[22, 12, 74, 85, 49, 19, 47, 97, 138, 9]","tensor([1., 0.])"
"[22, 21, 20, 35, 37, 31, 26, 44, 49, 6]","tensor([0., 1.])"
"[34, 35, 73, 84, 99, 58, 96, 26, 72, 6]","tensor([1., 0.])"
"[100, 5, 74, 14, 129, 86, 120, 46, 36, 45]","tensor([0., 1.])"
"[27, 64, 85, 38, 104, 119, 105, 35, 54, 14]","tensor([1., 0.])"
"[22, 40, 95, 30, 28, 45, 35, 21, 27, 17]","tensor([0., 1.])"
"[86, 94, 14, 50, 71, 84, 67, 35, 114, 9]","tensor([0., 1.])"
"[93, 128, 7, 119, 83, 105, 129, 6, 5, 39]","tensor([0., 1.])"
"[3, 68, 74, 41, 7, 121, 11, 120, 54, 35]","tensor([0., 1.])"
"[74, 93, 41, 19, 58, 44, 64, 101, 35, 71]","tensor([1., 0.])"
"[5, 1, 77, 129, 64, 56, 53, 84, 97, 87]","tensor([1., 0.])"
"[120, 47, 21, 62, 59, 110, 102, 50, 136, 126]","tensor([0., 1.])"
"[11, 4, 5, 87, 101, 9, 13, 21, 32, 98]","tensor([0., 1.])"
"[102, 128, 39, 136, 41, 5, 15, 106, 67, 138]","tensor([1., 0.])"
"[128, 14, 67, 47, 94, 44, 80, 26, 78, 82]","tensor([1., 0.])"
"[35, 17, 56, 1, 74, 44, 30, 83, 137, 135]","tensor([0., 1.])"
"[35, 104, 21, 6, 99, 91, 69, 44, 60, 9]","tensor([1., 0.])"
"[21, 98, 56, 50, 75, 84, 29, 93, 101, 63]","tensor([0., 1.])"
"[32, 94, 38, 40, 27, 29, 88, 20, 36, 82]","tensor([1., 0.])"
"[36, 29, 128, 85, 81, 8, 27, 26, 104, 105]","tensor([0., 1.])"
"[33, 18, 121, 26, 19, 10, 35, 137, 27, 16]","tensor([0., 1.])"
"[8, 30, 28, 45, 85, 71, 70, 6, 104, 84]","tensor([1., 0.])"
"[48, 56, 1, 96, 22, 104, 6, 44, 84, 40]","tensor([1., 0.])"
"[106, 26, 42, 62, 35, 64, 29, 76, 54, 9]","tensor([1., 0.])"
"[59, 104, 9, 2, 86, 48, 7, 102, 22, 73]","tensor([0., 1.])"
"[114, 25, 40, 14, 76, 102, 44, 26, 84, 112]","tensor([0., 1.])"
"[22, 85, 120, 87, 126, 37, 128, 32, 71, 8]","tensor([0., 1.])"
"[29, 5, 93, 84, 82, 41, 87, 76, 55, 69]","tensor([1., 0.])"
"[14, 123, 128, 1, 68, 36, 5, 70, 33, 16]","tensor([1., 0.])"
"[58, 5, 44, 4, 106, 18, 100, 62, 35, 67]","tensor([1., 0.])"
"[54, 33, 9, 75, 2, 135, 13, 42, 64, 36]","tensor([1., 0.])"
"[84, 95, 19, 64, 99, 21, 14, 67, 126, 138]","tensor([1., 0.])"
"[105, 9, 61, 14, 106, 35, 104, 2, 111, 31]","tensor([1., 0.])"
"[22, 84, 97, 123, 44, 85, 129, 35, 99, 86]","tensor([1., 0.])"
"[107, 8, 111, 22, 56, 73, 40, 32, 30, 75]","tensor([0., 1.])"
"[106, 9, 138, 65, 3, 32, 53, 28, 31, 11]","tensor([1., 0.])"
"[73, 14, 53, 67, 80, 21, 89, 22, 96, 26]","tensor([0., 1.])"
"[105, 4, 27, 82, 99, 34, 101, 8, 9, 104]","tensor([1., 0.])"
"[57, 112, 22, 19, 34, 103, 35, 44, 100, 53]","tensor([1., 0.])"
"[73, 81, 104, 31, 86, 30, 54, 2, 14, 106]","tensor([0., 1.])"
